interview__key	interview__id	Roster_AvantApres1__id	Avant1	Apres1	Roster_1_incomplet_1
33-92-23-96	373c6611cc4247efafba91235f61dd85	1	5	5	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	2	0	0	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	3	0	0	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	4	0	0	0
33-92-23-96	373c6611cc4247efafba91235f61dd85	5	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	1	142	142	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	2	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	3	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	4	0	0	0
81-27-60-95	5e03f941dd33401cb20c4ce4ffccaf24	5	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	1	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	2	7	7	0
98-38-02-42	955c981ebf274001a1518ba96332990b	3	0	0	0
98-38-02-42	955c981ebf274001a1518ba96332990b	4	1	1	0
98-38-02-42	955c981ebf274001a1518ba96332990b	5	0	0	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	1	41	36	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	2	0	0	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	3	0	0	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	4	0	0	0
81-62-81-06	a3cf9b1d0afe4edaaff502ffa38bf17b	5	0	0	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	1	90	90	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	2	0	0	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	3	0	0	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	4	0	0	0
38-36-39-93	cf54662aeab84f6f84d528daf7819377	5	0	0	0
23-37-88-44	db9272c541154f17b146bbe2b9189df5	1	6	6	0
23-37-88-44	db9272c541154f17b146bbe2b9189df5	2	0	0	0
23-37-88-44	db9272c541154f17b146bbe2b9189df5	3	0	0	0
23-37-88-44	db9272c541154f17b146bbe2b9189df5	4	0	0	0
23-37-88-44	db9272c541154f17b146bbe2b9189df5	5	0	0	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	1	86	178	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	2	0	0	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	3	0	0	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	4	1	1	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	5	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	1	38	38	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	2	1	1	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	3	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	4	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	5	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	1	25	10	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	2	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	3	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	4	4	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	5	0	0	0
